,Actual Profit ($),Actual Sales (Qty),Actual Cost of Goods Sold  (COGS) ($),Actual Total Expenses ($),Inventory (Qty),Budget Profit ($),Budget Sales (Qty),Budget COGS ($),Date,Market,Province,City,Store#,Market Size,Product Type,Product,Type,Sales Outlier
44,11,43,17,15,777,20,40,10,2019-01-31,Central,Ontario,Toronto ,775,Small Market,Espresso,Caffe Latte,Regular,Normal
45,11,43,17,15,777,20,40,10,2019-01-31,Central,Ontario,Toronto ,775,Small Market,Espresso,Decaf Espresso,Decaf,Normal
46,12,54,23,19,623,20,50,20,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
47,13,120,54,53,312,30,120,50,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Coffee,Amaretto,Regular,Normal
48,13,120,54,53,312,20,110,50,2019-01-31,Atlantic,Nova Scotia,Amherst,6000,Small Market,Espresso,Caffe Mocha,Regular,Normal
49,13,120,54,53,312,20,110,50,2019-01-31,Central,Quebec,Sherbrooke,918,Small Market,Herbal Tea,Chamomile,Decaf,Normal
50,13,120,54,53,312,20,90,40,2019-01-31,Prairie,Saskatchewan,Saskatoon,239,Major Market,Herbal Tea,Lemon,Decaf,Normal
51,16,130,58,56,338,40,150,60,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Espresso,Decaf Espresso,Decaf,Normal
52,16,250,105,129,725,30,220,90,2019-01-31,Central,Ontario,Toronto ,702,Small Market,Herbal Tea,Chamomile,Decaf,Normal
53,16,130,58,56,338,20,120,50,2019-01-31,Central,Ontario,Kitchener,503,Large Market,Espresso,Caffe Latte,Regular,Normal
54,17,130,58,55,338,20,110,40,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Tea,Darjeeling,Regular,Normal
55,17,250,105,128,725,20,240,100,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Espresso,Caffe Mocha,Regular,Normal
56,17,130,58,55,338,30,100,40,2019-01-31,Atlantic,Newfoundland,St. John's,2001,Major Market,Herbal Tea,Lemon,Decaf,Normal
57,20,93,38,35,241,30,80,30,2019-01-31,North,Northwest Territories,Yellowknife,4001,Small Market,Coffee,Amaretto,Regular,Normal
58,21,93,38,34,241,30,80,30,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Chamomile,Decaf,Normal
59,25,120,48,47,372,30,100,40,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Lemon,Decaf,Normal
60,25,120,48,47,372,40,110,40,2019-01-31,North,Northwest Territories,Yellowknife,4001,Small Market,Coffee,Colombian,Regular,Normal
61,26,120,48,46,372,50,150,60,2019-01-31,Atlantic,New Brunswick,Moncton,505,Small Market,Coffee,Colombian,Regular,Normal
62,28,81,33,20,777,50,70,20,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Herbal Tea,Lemon,Decaf,Normal
63,28,80,32,20,456,30,50,20,2019-01-31,Central,Ontario,Ottawa,971,Small Market,Tea,Darjeeling,Regular,Normal
64,28,160,67,65,400,60,200,80,2019-01-31,Central,Ontario,Kitchener,503,Large Market,Coffee,Colombian,Regular,Normal
65,28,80,32,20,456,40,60,20,2019-01-31,Central,Quebec,Sherbrooke,405,Small Market,Espresso,Caffe Mocha,Regular,Normal
66,28,80,32,20,821,50,100,40,2019-01-31,Central,Quebec,Sherbrooke,580,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
67,28,80,32,20,821,40,80,30,2019-01-31,Prairie,Saskatchewan,Saskatoon,954,Major Market,Tea,Darjeeling,Regular,Normal
68,28,81,33,20,777,40,80,30,2019-01-31,Prairie,Saskatchewan,Saskatoon,754,Major Market,Tea,Green Tea,Regular,Normal
69,28,81,33,20,777,50,100,40,2019-01-31,North,Yukon,Whitehorse,985,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
70,29,80,32,19,456,50,70,20,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Herbal Tea,Chamomile,Decaf,Normal
71,29,80,32,19,821,50,70,20,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Herbal Tea,Lemon,Decaf,Normal
72,29,80,32,19,821,40,80,30,2019-01-31,Atlantic,Newfoundland,St. John's,2001,Major Market,Tea,Darjeeling,Regular,Normal
73,29,80,32,19,456,40,80,30,2019-01-31,Atlantic,Newfoundland,St. John's,2001,Major Market,Tea,Green Tea,Regular,Normal
74,29,100,44,27,623,30,80,30,2019-01-31,Central,Ontario,Kitchener,503,Large Market,Herbal Tea,Lemon,Decaf,Normal
75,29,100,44,27,623,50,120,50,2019-01-31,Central,Quebec,Sherbrooke,580,Small Market,Coffee,Colombian,Regular,Normal
76,30,100,44,26,623,30,80,30,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Tea,Green Tea,Regular,Normal
77,30,130,55,45,312,40,120,50,2019-01-31,Prairie,Manitoba,Winnipeg,1001,Small Market,Espresso,Decaf Espresso,Decaf,Normal
78,30,130,55,45,312,70,160,60,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Coffee,Colombian,Regular,Normal
79,30,85,34,21,777,50,70,20,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Herbal Tea,Lemon,Decaf,Normal
80,30,85,34,21,777,50,100,40,2019-01-31,North,Yukon,Whitehorse,225,Small Market,Coffee,Colombian,Regular,Normal
81,33,140,60,47,336,40,120,50,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Herbal Tea,Mint,Decaf,Normal
82,33,140,60,47,336,50,130,50,2019-01-31,Prairie,Alberta,Edmonton,404,Major Market,Herbal Tea,Chamomile,Decaf,Normal
83,33,140,60,47,336,50,130,50,2019-01-31,Central,Ontario,Kitchener,503,Large Market,Espresso,Caffe Mocha,Regular,Normal
84,33,90,36,21,777,40,70,30,2019-01-31,Central,Ontario,Ottawa,971,Small Market,Herbal Tea,Chamomile,Decaf,Normal
85,34,140,60,46,336,50,140,60,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Coffee,Amaretto,Regular,Normal
86,34,112,49,29,623,40,100,40,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Espresso,Caffe Mocha,Regular,Normal
87,34,110,48,28,623,50,120,50,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Espresso,Decaf Espresso,Decaf,Normal
88,34,110,48,28,623,30,80,30,2019-01-31,Prairie,Saskatchewan,Saskatoon,863,Major Market,Herbal Tea,Chamomile,Decaf,Normal
89,35,94,38,21,777,40,100,40,2019-01-31,Prairie,Manitoba,Winnipeg,1001,Small Market,Tea,Green Tea,Regular,Normal
90,35,110,48,27,623,40,100,40,2019-01-31,Atlantic,Nova Scotia,Amherst,6000,Small Market,Espresso,Caffe Latte,Regular,Normal
91,35,112,49,28,623,40,100,40,2019-01-31,North,Yukon,Whitehorse,337,Small Market,Herbal Tea,Chamomile,Decaf,Normal
92,36,140,64,40,965,40,120,50,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Tea,Earl Grey,Regular,Normal
93,38,150,69,43,965,50,170,80,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Espresso,Caffe Mocha,Regular,Normal
94,38,130,53,39,338,70,160,60,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Coffee,Colombian,Regular,Normal
95,39,190,85,66,494,70,230,100,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
96,39,150,69,42,965,60,140,60,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Espresso,Decaf Espresso,Decaf,Normal
97,39,190,85,66,494,40,190,90,2019-01-31,North,Nunavut,Rankin Inlet,636,Small Market,Coffee,Colombian,Regular,Normal
98,39,150,69,42,965,40,110,50,2019-01-31,Prairie,Saskatchewan,Saskatoon,772,Major Market,Herbal Tea,Mint,Decaf,Normal
99,40,190,85,65,494,40,140,60,2019-01-31,Prairie,Manitoba,Winnipeg,1001,Small Market,Herbal Tea,Lemon,Decaf,Normal
100,40,190,85,65,494,40,180,80,2019-01-31,North,Yukon,Whitehorse,504,Small Market,Herbal Tea,Lemon,Decaf,Normal
101,42,140,57,41,364,50,130,50,2019-01-31,Prairie,Alberta,Edmonton,404,Major Market,Herbal Tea,Lemon,Decaf,Normal
102,42,140,57,41,364,50,140,60,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Coffee,Colombian,Regular,Normal
103,42,140,57,41,364,70,170,70,2019-01-31,Central,Ontario,Ottawa,971,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
104,44,114,46,24,777,40,100,40,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Espresso,Caffe Latte,Regular,Normal
105,45,114,46,23,777,60,130,50,2019-01-31,North,Nunavut,Rankin Inlet,660,Small Market,Espresso,Decaf Espresso,Decaf,Normal
106,47,123,50,26,821,60,130,50,2019-01-31,Prairie,Manitoba,Winnipeg,1001,Small Market,Tea,Darjeeling,Regular,Normal
107,47,170,78,45,965,50,130,50,2019-01-31,Prairie,Manitoba,Winnipeg,1001,Small Market,Herbal Tea,Mint,Decaf,Normal
108,47,123,50,26,821,50,110,40,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Espresso,Decaf Espresso,Decaf,Normal
109,47,170,78,45,965,80,210,90,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Coffee,Amaretto,Regular,Normal
110,47,150,61,42,390,50,130,50,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Tea,Darjeeling,Regular,Normal
111,47,170,78,45,965,50,170,80,2019-01-31,North,Nunavut,Pangnirtung,573,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
112,48,150,61,41,390,40,100,40,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Tea,Earl Grey,Regular,Normal
113,48,123,50,25,821,70,140,50,2019-01-31,North,Nunavut,Pangnirtung,573,Small Market,Espresso,Caffe Mocha,Regular,Normal
114,48,150,61,41,390,50,120,50,2019-01-31,North,Yukon,Whitehorse,337,Small Market,Espresso,Decaf Espresso,Decaf,Normal
115,50,180,77,53,432,60,170,70,2019-01-31,Prairie,Saskatchewan,Saskatoon,754,Major Market,Espresso,Decaf Espresso,Decaf,Normal
116,51,180,77,52,432,60,180,80,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
117,53,180,72,55,558,80,210,80,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Espresso,Decaf Espresso,Decaf,Normal
118,53,180,72,55,558,50,150,60,2019-01-31,Prairie,Alberta,Edmonton,404,Major Market,Espresso,Caffe Latte,Regular,Normal
119,53,134,54,27,456,50,110,40,2019-01-31,Central,Quebec,Montreal,217,Major Market,Tea,Darjeeling,Regular,Normal
120,54,134,54,26,456,70,150,60,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Espresso,Caffe Mocha,Regular,Normal
121,54,134,54,26,456,60,110,40,2019-01-31,Prairie,Alberta,Edmonton,404,Major Market,Espresso,Decaf Espresso,Decaf,Normal
122,54,134,54,26,456,60,90,30,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Tea,Earl Grey,Regular,Normal
123,54,180,72,54,558,50,120,40,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Tea,Green Tea,Regular,Normal
124,54,134,54,26,456,70,140,50,2019-01-31,Atlantic,PEI,Charlottetown,347,Major Market,Tea,Green Tea,Regular,Normal
125,54,180,72,54,558,40,150,60,2019-01-31,Central,Quebec,Montreal,708,Major Market,Tea,Earl Grey,Regular,Normal
126,66,200,84,50,500,70,170,70,2019-01-31,Central,Quebec,Sherbrooke,405,Small Market,Espresso,Caffe Latte,Regular,Normal
127,67,190,83,40,623,60,160,70,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Herbal Tea,Mint,Decaf,Normal
128,67,200,84,49,500,60,170,70,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Tea,Earl Grey,Regular,Normal
129,67,200,84,49,500,50,130,50,2019-01-31,Central,Ontario,Ottawa,541,Small Market,Tea,Green Tea,Regular,Normal
130,67,210,84,59,651,70,180,70,2019-01-31,Central,Quebec,Sherbrooke,405,Small Market,Espresso,Decaf Espresso,Decaf,Normal
131,67,200,84,49,500,70,190,80,2019-01-31,Prairie,Saskatchewan,Saskatoon,754,Major Market,Coffee,Decaf Irish Cream,Decaf,Normal
132,68,190,83,39,623,80,190,80,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Coffee,Colombian,Regular,Normal
133,68,190,83,39,623,100,230,100,2019-01-31,Prairie,Alberta,Edmonton,404,Major Market,Coffee,Decaf Irish Cream,Decaf,Normal
134,68,210,84,58,651,60,180,70,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Tea,Darjeeling,Regular,Normal
135,68,210,84,58,651,60,140,50,2019-01-31,Central,Ontario,Kitchener,503,Large Market,Tea,Earl Grey,Regular,Normal
136,68,190,83,39,623,60,160,70,2019-01-31,Central,Quebec,Montreal,630,Major Market,Herbal Tea,Lemon,Decaf,Normal
137,68,210,84,58,651,70,190,80,2019-01-31,Prairie,Saskatchewan,Saskatoon,954,Major Market,Coffee,Colombian,Regular,Normal
138,70,180,67,43,400,80,150,50,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Herbal Tea,Chamomile,Decaf,Normal
139,70,180,67,43,400,50,120,40,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Tea,Darjeeling,Regular,Normal
140,70,180,67,43,400,80,150,50,2019-01-31,North,Yukon,Whitehorse,337,Small Market,Espresso,Caffe Mocha,Regular,Normal
141,86,234,95,53,608,90,200,80,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Herbal Tea,Lemon,Decaf,Normal
142,86,234,95,53,608,90,200,80,2019-01-31,Central,Ontario,Toronto ,702,Small Market,Herbal Tea,Mint,Decaf,Normal
143,87,234,95,52,608,100,240,100,2019-01-31,Central,Quebec,Montreal,309,Major Market,Coffee,Decaf Irish Cream,Decaf,Normal
144,94,219,89,36,777,100,220,90,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Coffee,Amaretto,Regular,Normal
145,94,219,89,36,777,80,140,50,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Tea,Darjeeling,Regular,Normal
146,94,219,89,36,777,110,230,90,2019-01-31,Atlantic,PEI,Charlottetown,646,Major Market,Tea,Earl Grey,Regular,Normal
147,95,219,89,35,777,90,180,70,2019-01-31,Prairie,Alberta,Edmonton,404,Major Market,Espresso,Caffe Mocha,Regular,Normal
148,95,219,89,35,777,100,190,70,2019-01-31,Central,Quebec,Montreal,312,Major Market,Herbal Tea,Chamomile,Decaf,Normal
149,99,341,170,72,1091,110,300,140,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Herbal Tea,Chamomile,Decaf,Normal
150,99,341,170,72,1091,140,400,190,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Espresso,Caffe Mocha,Regular,Normal
151,99,341,170,72,1091,100,320,160,2019-01-31,Central,Ontario,Ottawa,971,Small Market,Espresso,Decaf Espresso,Decaf,Normal
152,100,341,170,71,1091,110,330,160,2019-01-31,Atlantic,Newfoundland,St. John's,2001,Major Market,Espresso,Regular Espresso,Regular,Normal
153,101,234,95,38,821,110,240,100,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Coffee,Decaf Irish Cream,Decaf,Normal
154,101,234,95,38,821,120,250,100,2019-01-31,Atlantic,PEI,Charlottetown,347,Major Market,Tea,Darjeeling,Regular,Normal
155,101,234,95,38,821,100,200,80,2019-01-31,Central,Quebec,Montreal,773,Major Market,Herbal Tea,Mint,Decaf,Normal
156,102,234,95,37,821,100,200,80,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Herbal Tea,Chamomile,Decaf,Normal
157,111,345,144,90,862,120,300,120,2019-01-31,Central,Ontario,Toronto ,775,Small Market,Herbal Tea,Lemon,Decaf,Normal
158,111,483,245,127,1419,100,370,180,2019-01-31,Atlantic,PEI,Charlottetown,607,Major Market,Herbal Tea,Lemon,Decaf,Outlier
159,111,345,144,90,862,130,360,150,2019-01-31,Central,Quebec,Montreal,217,Major Market,Coffee,Colombian,Regular,Normal
160,115,310,124,71,961,130,290,110,2019-01-31,Prairie,Manitoba,Winnipeg,1001,Small Market,Coffee,Colombian,Regular,Normal
161,115,310,124,71,961,120,270,100,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Herbal Tea,Chamomile,Decaf,Normal
162,140,456,228,88,1459,150,430,210,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Espresso,Caffe Latte,Regular,Outlier
163,140,456,228,88,1459,180,530,260,2019-01-31,Central,Quebec,Montreal,630,Major Market,Espresso,Decaf Espresso,Decaf,Outlier
164,141,456,228,87,1459,140,400,190,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Tea,Darjeeling,Regular,Outlier
165,141,456,228,87,1459,100,310,150,2019-01-31,Central,Ontario,Toronto ,775,Small Market,Tea,Earl Grey,Regular,Outlier
166,159,452,207,86,965,220,560,260,2019-01-31,Prairie,Alberta,Edmonton,404,Major Market,Coffee,Colombian,Regular,Outlier
167,160,452,207,85,965,160,390,170,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Herbal Tea,Lemon,Decaf,Outlier
168,175,546,245,126,1419,160,480,210,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Tea,Earl Grey,Regular,Outlier
169,175,490,228,87,1459,200,480,210,2019-01-31,Atlantic,PEI,Charlottetown,631,Major Market,Espresso,Regular Espresso,Regular,Outlier
170,202,546,234,110,1310,200,480,200,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Herbal Tea,Chamomile,Decaf,Outlier
171,203,546,234,109,1310,200,520,220,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Espresso,Decaf Espresso,Decaf,Outlier
172,203,546,234,109,1310,150,370,150,2019-01-31,Central,Ontario,Toronto ,775,Small Market,Tea,Darjeeling,Regular,Outlier
173,203,546,234,109,1310,260,640,270,2019-01-31,Central,Quebec,Montreal,309,Major Market,Espresso,Caffe Mocha,Regular,Outlier
174,262,678,271,145,2101,370,840,340,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Coffee,Colombian,Regular,Outlier
175,262,678,271,145,2101,260,640,260,2019-01-31,Atlantic,PEI,Charlottetown,716,Major Market,Coffee,Colombian,Regular,Outlier
176,367,494,72,55,558,360,460,60,2019-01-31,Atlantic,Newfoundland,St. John's,2001,Major Market,Coffee,Colombian,Regular,Outlier
177,0,23,240,125,1937,-220,0,150,2019-02-28,Central,Ontario,London,702,Small Market,Tea,Green Tea,Regular,Normal
178,0,61,121,143,901,-190,50,110,2019-02-28,Atlantic,PEI,Summerside,585,Major Market,Espresso,Caffe Mocha,Regular,Normal
179,0,180,213,87,1214,-80,140,160,2019-02-28,Atlantic,PEI,Summerside,607,Major Market,Herbal Tea,Mint,Decaf,Normal
180,0,122,148,91,1071,-110,150,180,2019-02-28,West,British Columbia,Bunaby,685,Major Market,Coffee,Decaf Irish Cream,Decaf,Normal
181,0,102,84,50,625,-20,80,70,2019-02-28,North,Nunavut,Kugluktuk,417,Small Market,Herbal Tea,Lemon,Decaf,Normal
182,0,102,84,49,625,-20,120,100,2019-02-28,Atlantic,New Brunswick,Moncton,505,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
183,0,102,84,49,625,-30,80,70,2019-02-28,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Mint,Decaf,Normal
184,0,132,104,55,685,-20,160,130,2019-02-28,West,British Columbia,Bunaby,685,Major Market,Coffee,Amaretto,Regular,Normal
185,0,104,43,69,256,10,90,30,2019-02-28,North,Nunavut,Rankin Inlet,636,Small Market,Herbal Tea,Chamomile,Decaf,Normal
186,0,104,43,68,256,0,80,30,2019-02-28,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Mocha,Regular,Normal
187,0,68,30,45,104,0,50,20,2019-02-28,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Latte,Regular,Normal
188,0,104,43,68,256,10,70,20,2019-02-28,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Darjeeling,Regular,Normal
189,0,104,43,68,256,10,100,40,2019-02-28,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Caffe Mocha,Regular,Normal
190,0,68,30,45,165,-10,50,20,2019-02-28,North,Nunavut,Iqaluit,314,Small Market,Tea,Earl Grey,Regular,Normal
191,0,68,30,44,165,10,40,10,2019-02-28,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Green Tea,Regular,Normal
192,0,68,30,44,165,0,60,20,2019-02-28,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Regular Espresso,Regular,Normal
193,0,74,33,46,193,10,90,40,2019-02-28,Central,Ontario,London,775,Small Market,Coffee,Colombian,Regular,Normal
194,0,128,54,78,451,10,120,50,2019-02-28,Atlantic,Newfoundland,St. John's,2001,Major Market,Espresso,Caffe Mocha,Regular,Normal
195,0,74,33,45,193,0,50,20,2019-02-28,North,Northwest Territories,Yellowknife,4001,Small Market,Herbal Tea,Lemon,Decaf,Normal
